07-01-2018:17:33:32,989 INFO     [main.py:39] in main
08-01-2018:09:58:11,342 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:09:58:11,342 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:09:58:11,342 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:09:58:11,343 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:09:59:01,172 INFO     [main.py:111] in main
08-01-2018:09:59:01,172 INFO     [main.py:40] Starting to train
08-01-2018:09:59:01,176 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_w2i.txt
08-01-2018:09:59:01,177 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:09:59:01,177 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_i2w.txt
08-01-2018:09:59:01,178 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:09:59:01,178 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:09:59:01,179 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:09:59:01,179 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:09:59:01,179 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:09:59:01,179 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:09:59:01,179 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:09:59:01,179 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:09:59:01,180 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,254 INFO     [main.py:125] in main
08-01-2018:10:01:07,255 INFO     [main.py:40] Starting to train
08-01-2018:10:01:07,258 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_w2i.txt
08-01-2018:10:01:07,259 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,259 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_i2w.txt
08-01-2018:10:01:07,260 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,260 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:10:01:07,261 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,261 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:10:01:07,261 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,261 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:10:01:07,261 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:01:07,261 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:10:01:07,262 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,146 INFO     [main.py:125] in main
08-01-2018:10:02:35,146 INFO     [main.py:40] Starting to train
08-01-2018:10:02:35,153 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_w2i.txt
08-01-2018:10:02:35,154 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,154 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_i2w.txt
08-01-2018:10:02:35,155 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,155 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:10:02:35,156 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,156 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:10:02:35,156 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,156 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:10:02:35,156 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:35,156 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:10:02:35,157 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:10:02:53,813 INFO     [main.py:125] in main
08-01-2018:10:02:53,813 INFO     [main.py:40] Starting to train
08-01-2018:10:02:53,818 INFO     [data_utils.py:62] Getting w2c
08-01-2018:10:02:55,122 INFO     [data_utils.py:89] Generating w2i from w2c
08-01-2018:10:02:55,122 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_w2i.txt
08-01-2018:10:02:55,123 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:10:02:55,123 INFO     [data_utils.py:102] Generating i2w from w2i
08-01-2018:10:02:55,123 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_i2w.txt
08-01-2018:10:02:55,124 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:10:02:55,125 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:10:02:56,386 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:10:02:56,387 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:10:02:56,387 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:10:02:56,387 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:10:02:56,388 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:10:02:56,454 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:10:02:56,454 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:10:02:56,454 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:10:02:56,454 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:06:55,213 INFO     [main.py:25] in main
08-01-2018:19:06:55,213 INFO     [train.py:108] Starting to train
08-01-2018:19:06:55,213 INFO     [train.py:100] Starting to get training/validation data
08-01-2018:19:07:54,827 INFO     [main.py:25] in main
08-01-2018:19:07:54,827 INFO     [train.py:108] Starting to train
08-01-2018:19:07:54,827 INFO     [train.py:100] Starting to get training/validation data
08-01-2018:19:07:54,832 INFO     [data_utils.py:62] Getting w2c
08-01-2018:19:07:56,163 INFO     [data_utils.py:89] Generating w2i from w2c
08-01-2018:19:07:56,164 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_w2i.txt
08-01-2018:19:07:56,165 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:07:56,165 INFO     [data_utils.py:102] Generating i2w from w2i
08-01-2018:19:07:56,165 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/attention_summarizer_i2w.txt
08-01-2018:19:07:56,165 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:07:56,167 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:19:07:57,512 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:19:07:57,513 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:07:57,513 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:19:07:57,513 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:07:57,514 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:19:07:59,121 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:19:08:05,174 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:19:08:05,174 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:19:08:07,689 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:33:55,139 INFO     [main.py:25] in main
08-01-2018:23:33:55,139 INFO     [attentionAbstractiveSummarization_train.py:110] Starting to train
08-01-2018:23:33:55,139 INFO     [attentionAbstractiveSummarization_train.py:102] Starting to get training/validation data
08-01-2018:23:33:55,144 INFO     [data_utils.py:62] Getting w2c
08-01-2018:23:33:56,441 INFO     [data_utils.py:89] Generating w2i from w2c
08-01-2018:23:33:56,442 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_w2i.txt
08-01-2018:23:33:56,442 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:33:56,443 INFO     [data_utils.py:102] Generating i2w from w2i
08-01-2018:23:33:56,443 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_i2w.txt
08-01-2018:23:33:56,443 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:33:56,445 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:33:57,702 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:23:33:57,703 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:33:57,703 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:23:33:57,703 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:33:57,705 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:33:59,328 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:23:34:05,106 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:34:05,106 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:23:34:07,541 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:01,155 INFO     [main.py:25] in main
08-01-2018:23:36:01,156 INFO     [attentionAbstractiveSummarization_train.py:110] Starting to train
08-01-2018:23:36:01,156 INFO     [attentionAbstractiveSummarization_train.py:102] Starting to get training/validation data
08-01-2018:23:36:01,161 INFO     [data_utils.py:62] Getting w2c
08-01-2018:23:36:02,445 INFO     [data_utils.py:89] Generating w2i from w2c
08-01-2018:23:36:02,446 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_w2i.txt
08-01-2018:23:36:02,447 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:02,447 INFO     [data_utils.py:102] Generating i2w from w2i
08-01-2018:23:36:02,447 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_i2w.txt
08-01-2018:23:36:02,447 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:02,449 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:36:03,712 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:23:36:03,713 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:03,713 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:23:36:03,713 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:03,716 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:36:05,355 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:23:36:11,491 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:36:11,491 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:23:36:14,82 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:01,432 INFO     [main.py:25] in main
08-01-2018:23:37:01,432 INFO     [attentionAbstractiveSummarization_train.py:110] Starting to train
08-01-2018:23:37:01,432 INFO     [attentionAbstractiveSummarization_train.py:102] Starting to get training/validation data
08-01-2018:23:37:01,435 INFO     [data_utils.py:62] Getting w2c
08-01-2018:23:37:02,725 INFO     [data_utils.py:89] Generating w2i from w2c
08-01-2018:23:37:02,725 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_w2i.txt
08-01-2018:23:37:02,726 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:02,726 INFO     [data_utils.py:102] Generating i2w from w2i
08-01-2018:23:37:02,726 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_i2w.txt
08-01-2018:23:37:02,727 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:02,728 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:37:04,42 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:23:37:04,42 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:04,42 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_title_save.txt
08-01-2018:23:37:04,43 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:04,44 INFO     [data_utils.py:113] Getting data and saving
08-01-2018:23:37:05,714 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_article_save.txt
08-01-2018:23:37:11,694 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:37:11,694 INFO     [data_utils.py:12] Saving object in file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/valid_title_save.txt
08-01-2018:23:37:14,244 INFO     [data_utils.py:15] Done saving object to file
08-01-2018:23:45:57,667 INFO     [main.py:25] in main
08-01-2018:23:45:57,667 INFO     [attentionAbstractiveSummarization_train.py:110] Starting to train
08-01-2018:23:45:57,667 INFO     [attentionAbstractiveSummarization_train.py:102] Starting to get training/validation data
08-01-2018:23:45:57,670 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_w2i.txt
08-01-2018:23:45:57,670 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:23:45:57,670 INFO     [data_utils.py:30] file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_w2i.txt had non-iterable data of length 36
08-01-2018:23:45:57,670 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_i2w.txt
08-01-2018:23:45:57,671 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:23:45:57,671 INFO     [data_utils.py:30] file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/aas_i2w.txt had non-iterable data of length 36
08-01-2018:23:45:57,671 INFO     [data_utils.py:19] Loading data from file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt
08-01-2018:23:45:57,671 INFO     [data_utils.py:22] Done loading data from file
08-01-2018:23:45:57,671 INFO     [data_utils.py:30] file = /home/shantanu/PycharmProjects/DynetAttentionAbstractiveSummarizerRush/generated_data/train_article_save.txt had non-iterable data of length 1
